ticker,DIM FP Equity,NEO FP Equity,OR FP Equity,DG FP Equity
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,
2017-01-02,61.2,29.69,173.45,64.65
2017-01-03,60.67,30.0,170.15,65.35
2017-01-04,60.36,30.45,169.85,64.91
2017-01-05,60.52,30.19,170.3,65.14
2017-01-06,60.82,30.3,170.25,65.73
2017-01-09,60.93,30.04,171.35,66.0
2017-01-10,61.23,30.08,171.05,65.91
2017-01-11,60.8,30.9,171.85,65.57
2017-01-12,59.59,30.62,170.4,65.51
2017-01-13,60.28,31.16,171.45,65.72
2017-01-16,60.4,31.42,170.8,65.47
2017-01-17,59.83,31.2,169.6,64.99
2017-01-18,59.47,30.96,169.55,65.16
2017-01-19,59.35,31.66,170.5,65.18
2017-01-20,59.5,31.17,170.05,65.84
2017-01-23,59.0,31.16,171.15,66.9
2017-01-24,58.82,31.47,171.3,66.56
2017-01-25,59.47,31.79,171.55,66.65
2017-01-26,59.02,31.29,171.3,65.85
2017-01-27,60.0,31.15,171.3,65.56
2017-01-30,57.84,30.47,171.0,64.94
2017-01-31,56.0,30.59,168.35,64.9
2017-02-01,56.27,30.69,168.9,65.28
2017-02-02,55.8,30.09,170.6,66.19
2017-02-03,56.0,29.83,171.05,66.54
2017-02-06,57.7,29.37,170.2,65.82
2017-02-07,58.0,29.45,171.5,65.22
2017-02-08,57.71,29.0,173.35,68.27
2017-02-09,58.13,28.32,174.0,68.81
2017-02-10,58.69,28.35,170.1,68.76
2017-02-13,58.38,28.5,173.7,69.36
2017-02-14,58.0,28.57,172.55,68.82
2017-02-15,58.58,29.28,173.8,69.4
2017-02-16,58.3,29.24,171.85,68.9
2017-02-17,58.79,28.79,176.1,68.21
2017-02-20,58.65,28.66,172.65,68.53
2017-02-21,59.6,29.15,173.45,68.31
2017-02-22,59.79,28.85,176.5,68.49
2017-02-23,59.26,28.76,176.9,68.17
2017-02-24,58.54,28.04,175.55,67.49
2017-02-27,60.2,28.17,175.3,67.44
2017-02-28,60.17,28.43,175.55,68.01
2017-03-01,60.77,29.2,176.6,69.73
2017-03-02,59.79,29.05,176.05,69.92
2017-03-03,60.39,28.88,176.45,70.0
2017-03-06,59.89,28.57,176.3,69.99
2017-03-07,60.0,28.91,175.5,70.06
2017-03-08,60.97,28.95,175.1,70.32
2017-03-09,61.01,28.7,176.4,70.74
2017-03-10,62.0,29.05,177.35,70.34
